image_path,crop,disease,caption,temperature,humidity,rainfall,source_csv,image_full_path
Cedar_rust(27).JPG,Apple,Cedar_apple_rust,a leaf with a splotch of brown and white spots showing early symptoms.,21.0,93.0,40.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(27).JPG
Cedar_rust(28).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing early symptoms.,24.0,85.0,42.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(28).JPG
Cedar_rust(29).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing early symptoms.,18.0,94.0,33.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(29).JPG
Cedar_rust(30).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing early symptoms.,19.0,85.0,30.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(30).JPG
Cedar_rust(31).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots and a few brown spots showing slight discoloration.,23.0,95.0,33.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(31).JPG
Cedar_rust(32).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with healthy green texture.,17.0,85.0,45.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(32).JPG
Cedar_rust(33).JPG,Apple,Cedar_apple_rust,a small speck of brownish brownish brownish brownish brownish brownish brownish brownish brownish showing slight discoloration.,16.0,90.0,48.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(33).JPG
Cedar_rust(34).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots during daylight.,20.0,86.0,22.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(34).JPG
Cedar_rust(35).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots under natural light.,20.0,91.0,32.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(35).JPG
Cedar_rust(36).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing slight discoloration.,20.0,88.0,36.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(36).JPG
Cedar_rust(37).JPG,Apple,Cedar_apple_rust,a leaf with a few spots under natural light.,17.0,88.0,40.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(37).JPG
Cedar_rust(38).JPG,Apple,Cedar_apple_rust,a small speck of brownish brownish brownish brownish brownish brownish brownish brownish brownish under natural light.,21.0,98.0,37.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(38).JPG
Cedar_rust(39).JPG,Apple,Cedar_apple_rust,a small brown spot on the leaf under natural light.,22.0,89.0,35.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(39).JPG
Cedar_rust(40).JPG,Apple,Cedar_apple_rust,a leaf with a brown spot on the leaf with visible spots.,22.0,91.0,34.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(40).JPG
Cedar_rust(41).JPG,Apple,Cedar_apple_rust,a leaf with a brown spot on it during daylight.,17.0,86.0,26.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(41).JPG
Cedar_rust(42).JPG,Apple,Cedar_apple_rust,a leaf with a brown spot on it showing slight discoloration.,19.0,95.0,44.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(42).JPG
Cedar_rust(43).JPG,Apple,Cedar_apple_rust,a leaf with a few spots under natural light.,20.0,85.0,50.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(43).JPG
Cedar_rust(44).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots during daylight.,20.0,90.0,34.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(44).JPG
Cedar_rust(45).JPG,Apple,Cedar_apple_rust,a fungus - a fungus - a fungus - a fung during daylight.,20.0,95.0,44.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(45).JPG
Cedar_rust(46).JPG,Apple,Cedar_apple_rust,a leaf with a scab on it during daylight.,17.0,92.0,37.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(46).JPG
Cedar_rust(47).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with visible spots.,16.0,90.0,36.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(47).JPG
Cedar_rust(48).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with visible spots.,19.0,93.0,34.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(48).JPG
Cedar_rust(49).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with visible spots.,16.0,96.0,38.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(49).JPG
Cedar_rust(50).JPG,Apple,Cedar_apple_rust,a leaf with a few spots of brown and white with healthy green texture.,21.0,89.0,40.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(50).JPG
Cedar_rust(51).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing slight discoloration.,22.0,95.0,38.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(51).JPG
Cedar_rust(52).JPG,Apple,Cedar_apple_rust,a leaf with a few spots of brown and white fungus with healthy green texture.,21.0,94.0,24.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(52).JPG
Cedar_rust(53).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with healthy green texture.,21.0,96.0,22.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(53).JPG
Cedar_rust(54).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with healthy green texture.,17.0,98.0,37.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(54).JPG
Cedar_rust(55).JPG,Apple,Cedar_apple_rust,a leaf with a few spots during daylight.,24.0,98.0,48.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(55).JPG
Cedar_rust(56).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with healthy green texture.,16.0,92.0,49.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(56).JPG
Cedar_rust(57).JPG,Apple,Cedar_apple_rust,a leaf with a brown spot on it during daylight.,18.0,97.0,25.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(57).JPG
Cedar_rust(58).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots with healthy green texture.,24.0,87.0,20.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(58).JPG
Cedar_rust(59).JPG,Apple,Cedar_apple_rust,a leaf with a few spots under natural light.,16.0,92.0,26.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(59).JPG
Cedar_rust(60).JPG,Apple,Cedar_apple_rust,a leaf with a few spots under natural light.,23.0,98.0,30.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(60).JPG
Cedar_rust(61).JPG,Apple,Cedar_apple_rust,a leaf with a few spots on it showing slight discoloration.,20.0,97.0,29.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(61).JPG
Cedar_rust(62).JPG,Apple,Cedar_apple_rust,a leaf with a few spots of brown and white rust under natural light.,16.0,85.0,34.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(62).JPG
Cedar_rust(63).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing early symptoms.,20.0,95.0,37.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(63).JPG
Cedar_rust(64).JPG,Apple,Cedar_apple_rust,a small speck of fungus on the leaf under natural light.,21.0,93.0,43.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(64).JPG
Cedar_rust(65).JPG,Apple,Cedar_apple_rust,a small brown spot on the leaf showing slight discoloration.,22.0,86.0,25.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(65).JPG
Cedar_rust(66).JPG,Apple,Cedar_apple_rust,a leaf with a scab on it showing slight discoloration.,24.0,98.0,21.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(66).JPG
Cedar_rust(67).JPG,Apple,Cedar_apple_rust,a leaf with a few spots of brownish brown color under natural light.,17.0,87.0,30.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(67).JPG
Cedar_rust(68).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with visible spots.,20.0,93.0,34.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(68).JPG
Cedar_rust(69).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots showing slight discoloration.,17.0,87.0,38.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(69).JPG
Cedar_rust(70).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with healthy green texture.,23.0,97.0,35.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(70).JPG
Cedar_rust(71).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing slight discoloration.,16.0,94.0,37.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(71).JPG
Cedar_rust(72).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing slight discoloration.,17.0,86.0,28.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(72).JPG
Cedar_rust(73).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots with visible spots.,18.0,92.0,34.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(73).JPG
Cedar_rust(74).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots showing early symptoms.,22.0,96.0,31.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(74).JPG
Cedar_rust(75).JPG,Apple,Cedar_apple_rust,a leaf with a few spots of brown and white with healthy green texture.,22.0,88.0,37.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(75).JPG
Cedar_rust(76).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing early symptoms.,16.0,88.0,47.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(76).JPG
Cedar_rust(77).JPG,Apple,Cedar_apple_rust,a leaf with a few spots and a few dots showing early symptoms.,16.0,89.0,39.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(77).JPG
Cedar_rust(78).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing slight discoloration.,18.0,94.0,24.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(78).JPG
Cedar_rust(79).JPG,Apple,Cedar_apple_rust,a leaf with a brown spot on it with visible spots.,22.0,87.0,21.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(79).JPG
Cedar_rust(80).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots showing early symptoms.,23.0,96.0,48.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(80).JPG
Cedar_rust(81).JPG,Apple,Cedar_apple_rust,a leaf with a few spots during daylight.,16.0,96.0,38.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(81).JPG
Cedar_rust(82).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with visible spots.,16.0,86.0,40.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(82).JPG
Cedar_rust(83).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots under natural light.,24.0,91.0,30.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(83).JPG
Cedar_rust(84).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with visible spots.,21.0,88.0,32.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(84).JPG
Cedar_rust(85).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with healthy green texture.,22.0,91.0,31.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(85).JPG
Cedar_rust(86).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing slight discoloration.,22.0,97.0,28.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(86).JPG
Cedar_rust(87).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing early symptoms.,23.0,94.0,43.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(87).JPG
Cedar_rust(88).JPG,Apple,Cedar_apple_rust,a leaf with a splotch of brown spots on it with visible spots.,19.0,93.0,34.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(88).JPG
Cedar_rust(89).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots showing early symptoms.,22.0,88.0,24.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(89).JPG
Cedar_rust(90).JPG,Apple,Cedar_apple_rust,a leaf with a few spots of brown and white spotted fungus with visible spots.,23.0,87.0,36.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(90).JPG
Cedar_rust(91).JPG,Apple,Cedar_apple_rust,a leaf with a rusty brown spot during daylight.,21.0,86.0,44.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(91).JPG
Cedar_rust(92).JPG,Apple,Cedar_apple_rust,a leaf with a few spots of brown and white spotted fungus during daylight.,19.0,88.0,26.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(92).JPG
Cedar_rust(93).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots with healthy green texture.,24.0,88.0,43.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(93).JPG
Cedar_rust(94).JPG,Apple,Cedar_apple_rust,a leaf with a few spots under natural light.,21.0,86.0,39.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(94).JPG
Cedar_rust(95).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing early symptoms.,23.0,94.0,41.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(95).JPG
Cedar_rust(96).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with healthy green texture.,18.0,94.0,39.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(96).JPG
Cedar_rust(97).JPG,Apple,Cedar_apple_rust,a leaf with a few spots under natural light.,22.0,86.0,29.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(97).JPG
Cedar_rust(98).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing slight discoloration.,19.0,89.0,39.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(98).JPG
Cedar_rust(99).JPG,Apple,Cedar_apple_rust,a fungus leaf spot showing slight discoloration.,17.0,85.0,31.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(99).JPG
Cedar_rust(100).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots showing early symptoms.,17.0,97.0,20.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(100).JPG
Cedar_rust(101).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots showing early symptoms.,17.0,88.0,28.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(101).JPG
Cedar_rust(102).JPG,Apple,Cedar_apple_rust,a leaf with a rusty brown spot on it with healthy green texture.,23.0,96.0,44.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(102).JPG
Cedar_rust(103).JPG,Apple,Cedar_apple_rust,a leaf with a few spots of brownish brown rust on it during daylight.,18.0,95.0,38.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(103).JPG
Cedar_rust(104).JPG,Apple,Cedar_apple_rust,a leaf with a brown spot on it with healthy green texture.,23.0,90.0,28.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(104).JPG
Cedar_rust(105).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with healthy green texture.,24.0,93.0,22.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(105).JPG
Cedar_rust(106).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing slight discoloration.,21.0,86.0,48.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(106).JPG
Cedar_rust(107).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing early symptoms.,22.0,89.0,45.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(107).JPG
